frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
307,1,2044.423750113521 1285.183147854365 2658.139983138902 1801.59672075037,2249.713134765625 1586.0482177734375 2487.12841796875 1696.3465576171875,0.586406946182251,AP05JEO,0.8091661387237908
308,1,2044.6317333314673 1285.314701191262 2661.3827374449793 1803.2459281905876,2254.3779296875 1588.0250244140625 2495.47705078125 1688.87109375,0.4864135980606079,AP05JEO,0.8871729155414128
309,1,2045.7635395716025 1286.6729264884227 2664.277036145688 1805.7532393386875,2239.478515625 1589.748779296875 2487.59130859375 1694.18115234375,0.43104663491249084,AP05JEO,0.32405133681322207
310,1,2048.553407688362 1290.2657478183298 2671.72481947615 1809.341530585394,2239.98046875 1592.490966796875 2460.822509765625 1699.64501953125,0.2939489781856537,AP05JEO,0.25173068872966775
311,1,2049.7028310913556 1293.6728265745817 2671.088889863758 1812.9005959865394,2241.17158203125 1596.5927490234376 2470.898046875 1704.4972412109375,0,0,0
312,1,2050.852254494349 1297.0799053308335 2670.452960251366 1816.459661387685,2242.3626953125 1600.69453125 2480.973583984375 1709.349462890625,0,0,0
313,1,2052.0016778973427 1300.4869840870856 2669.8170306389748 1820.0187267888305,2243.55380859375 1604.7963134765625 2491.04912109375 1714.2016845703124,0,0,0
314,1,2053.151101300336 1303.8940628433375 2669.181101026583 1823.577792189976,2244.744921875 1608.898095703125 2501.124658203125 1719.05390625,0,0,0
315,1,2054.3005247033298 1307.3011415995893 2668.545171414191 1827.1368575911215,2245.93603515625 1612.9998779296875 2511.2001953125 1723.9061279296875,0.29844024777412415,AP05JEO,0.316480608981263
316,1,2050.534558217805 1307.694806273502 2667.0285422722636 1827.8802836208713,2275.761474609375 1618.083251953125 2510.20361328125 1712.410400390625,0.4214842915534973,AP05JEO,0.22605796578576218
317,1,2045.496762709693 1308.906334370838 2665.3229164279373 1830.036509819634,2268.243896484375 1616.5338134765625 2514.50244140625 1712.7037353515625,0.3311499357223511,AP05JEO,0.47864925589017937
318,1,2046.258233511131 1310.7604323469513 2668.2965883741617 1833.1414264097662,2277.642578125 1611.2978515625 2527.572509765625 1735.8916015625,0.27035921812057495,AP05JEO,0.3750747173150485
319,1,2046.1008190013492 1311.1791740430817 2669.8020041295003 1834.4185606782285,2277.129638671875 1611.281982421875 2527.58935546875 1736.022216796875,0.27099329233169556,AP05JEQ,0.3024841007397643
320,1,2052.575308921107 1313.8826803989548 2671.946218466825 1837.1677733187119,2295.44677734375 1624.609130859375 2504.29150390625 1723.48681640625,0.43802762031555176,AP05JEO,0.10791626803693484
321,1,2057.774600471755 1316.7625661151878 2673.838848900025 1840.4597184274653,2288.8828125 1627.2777099609375 2498.8798828125 1715.5594482421875,0.2945697605609894,AP05JEQ,0.3835320485550066
322,1,2055.6474088319683 1320.088786607705 2672.2964000034826 1844.9246158768879,2281.797607421875 1628.8251342773438 2487.4317626953125 1725.4140014648438,0,0,0
323,1,2053.520217192181 1323.415007100222 2670.75395110694 1849.3895133263102,2274.71240234375 1630.37255859375 2475.983642578125 1735.2685546875,0.4882693588733673,AP05JEO,0.2623036731644129
324,1,2049.511867227914 1325.245681673719 2671.8343354073786 1853.5999988738467,2293.1416015625 1642.6611328125 2509.53564453125 1734.586669921875,0.3692457675933838,AP05JEO,0.48992364440705655
325,1,2047.0559190137092 1325.4760784942043 2672.9065667105733 1855.517699618869,2293.099609375 1642.65234375 2509.5810546875 1734.593994140625,0.36938706040382385,AP05JEO,0.48992364440705655
326,1,2052.34976030866 1327.7518068221566 2677.8454508009054 1858.836358888862,2277.96044921875 1639.6812744140625 2520.1806640625 1742.3203125,0.30442583560943604,AP05JEO,0.4028580894985926
327,1,2053.062710119883 1329.6105463419663 2678.9206521937444 1861.4241059845594,2273.41943359375 1643.47998046875 2514.5048828125 1748.1778564453125,0.2859663963317871,AP05JEO,0.35126232463279045
328,1,2059.4738210609357 1332.558306862999 2682.8433489197587 1866.9830699784466,2279.24755859375 1649.91064453125 2495.921875 1740.28271484375,0.2514415681362152,AP05JED,0.283801165909156
329,1,2063.968138110132 1334.5338669030032 2685.1667249095963 1871.3573110761085,2275.9794921875 1653.992431640625 2505.0872802734375 1752.07763671875,0,0,0
330,1,2068.4624551593274 1336.5094269430074 2687.4901008994334 1875.7315521737705,2272.71142578125 1658.07421875 2514.252685546875 1763.87255859375,0.48626184463500977,AP05JEO,0.24241168187092305
331,1,2072.634180267593 1336.8315910959282 2688.0615237637217 1877.7175777702314,2272.812744140625 1658.1500244140625 2514.342041015625 1764.0018310546875,0.48499470949172974,AP05JEO,0.21624078607562278
332,1,2070.1834352217224 1340.704782003613 2686.687533182615 1881.80244973274,2271.4874674479165 1661.3458251953125 2516.6761067708335 1766.3826904296875,0,0,0
333,1,2067.7326901758524 1344.5779729112976 2685.3135426015083 1885.8873216952481,2270.1621907552085 1664.5416259765625 2519.0101725260415 1768.7635498046875,0,0,0
334,1,2065.281945129982 1348.4511638189824 2683.9395520204016 1889.9721936577566,2268.8369140625 1667.7374267578125 2521.34423828125 1771.1444091796875,0.3134247958660126,AP05JEO,0.2705134654038293
335,1,2068.1362277571284 1350.1965962238605 2686.106625396453 1891.599078519224,2269.1333984375 1668.563623046875 2520.69208984375 1774.046142578125,0,0,0
336,1,2070.9905103842743 1351.9420286287386 2688.273698772505 1893.2259633806912,2269.4298828125 1669.3898193359375 2520.03994140625 1776.9478759765625,0,0,0
337,1,2073.8447930114207 1353.6874610336167 2690.440772148557 1894.8528482421584,2269.7263671875 1670.216015625 2519.38779296875 1779.849609375,0,0,0
338,1,2076.6990756385667 1355.4328934384948 2692.607845524609 1896.4797331036257,2270.0228515625 1671.0422119140626 2518.73564453125 1782.7513427734375,0,0,0
339,1,2079.553358265713 1357.178325843373 2694.7749189006604 1898.106617965093,2270.3193359375 1671.868408203125 2518.08349609375 1785.653076171875,0.506965160369873,AP05JED,0.24618255386217028
340,1,2081.8338546360073 1361.3283851088042 2695.825790139041 1901.5362979574832,2273.2167154947915 1678.862548828125 2522.0877278645835 1790.79052734375,0,0,0
341,1,2084.114351006302 1365.4784443742358 2696.876661377422 1904.9659779498731,2276.1140950520835 1685.856689453125 2526.0919596354165 1795.927978515625,0,0,0
342,1,2086.3948473765963 1369.628503639667 2697.9275326158026 1908.3956579422634,2279.011474609375 1692.850830078125 2530.09619140625 1801.0654296875,0.4037865400314331,AP05JEL,0.2962427410158851
343,1,2086.802318066567 1371.05350582971 2697.9240955399846 1910.3005138092717,2279.634033203125 1692.98388671875 2529.87841796875 1800.961181640625,0.4049301743507385,AP05JEL,0.26814085992563313
344,1,2081.1487024446706 1374.5320452526485 2700.033724641122 1915.7243672436603,2294.0592041015625 1699.583251953125 2527.714599609375 1808.1131591796875,0,0,0
345,1,2075.4950868227743 1378.0105846755869 2702.143353742259 1921.1482206780488,2308.484375 1706.1826171875 2525.55078125 1815.26513671875,0.466043621301651,AP05JEO,0.39130303850057924
346,1,2077.649948277278 1379.9269330769296 2704.734076829245 1924.5948546467596,2307.1416015625 1700.513671875 2531.2666015625 1811.39501953125,0.4984903037548065,AP05JEO,0.15959436176991995
347,1,2081.655606222115 1383.3177920226872 2706.9872576629296 1928.564389024498,2306.09521484375 1704.3689575195312 2542.39208984375 1813.177734375,0,0,0
348,1,2085.6612641669517 1386.7086509684448 2709.240438496614 1932.5339234022365,2305.048828125 1708.2242431640625 2553.517578125 1814.96044921875,0.5033673644065857,AP05JEO,0.2927760163718237
349,1,2087.951948871779 1388.043307302622 2709.7396551395173 1934.2072768920943,2304.34619140625 1708.270751953125 2553.235107421875 1814.905517578125,0.5030993819236755,AP05JEO,0.5071434383226444
