frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
186,6.0,[978.6093459554966 1365.387230649048 1686.1367577559265 1904.601424707916],[1223.89111328125 1703.5850830078125 1424.801025390625 1789.6365966796875],0.3486984372138977,GX15OCJ,0.19125331198641346
187,6.0,[975.7748827992622 1366.2718927281544 1686.6441886487387 1905.242458216247],[1223.8890380859375 1703.56640625 1424.867431640625 1789.65087890625],0.3488326072692871,GX15OCJ,0.19125331198641346
189,6.0,[971.3222758515537 1369.0586810990712 1686.1397567012052 1911.2764799679253],[1241.0718994140625 1714.65234375 1420.470458984375 1809.750732421875],0.4246554374694824,GX15OCJ,0.34900095640416445
191,6.0,[968.2616939956721 1375.2856620808764 1683.6110837958267 1923.3414636479126],[1236.062255859375 1720.797119140625 1421.4385986328125 1818.726806640625],0.2758626639842987,GX15OGJ,0.8425068345831841
192,6.0,[966.8168133952083 1379.7119249632292 1682.3926478966634 1929.8032502943915],[1212.3095703125 1719.943115234375 1420.903076171875 1817.954345703125],0.446207195520401,GX15OGJ,0.30908370481606545
193,6.0,[966.2817509405206 1380.917081290954 1682.0231830056252 1932.6218028317442],[1212.489990234375 1719.8785400390625 1421.00341796875 1817.9395751953125],0.4463055729866028,GX15OGJ,0.3002511177385423
194,6.0,[964.6579199782816 1381.8936634776892 1681.6028773598944 1936.052746002007],[1216.333984375 1717.7618408203125 1407.1080322265625 1808.8582763671875],0.2770114839076996,GX15OCJ,0.29470366354200517
208,6.0,[947.0595695968668 1431.0994514735314 1670.9264867664951 1997.1718635582304],[1213.6405029296875 1781.4217529296875 1391.48095703125 1874.8802490234375],0.4853002429008484,CV15OCJ,0.17101546005573093
213,6.0,[944.5735896871579 1447.6614262748635 1670.6272017202077 2014.6951872217714],[1201.1878662109375 1792.343994140625 1384.701904296875 1890.542724609375],0.3717140555381775,GR15OGJ,0.23784858023487637
214,6.0,[940.902142234641 1451.1511050679476 1669.8356594187326 2019.0117568236808],[1204.956787109375 1795.2286376953125 1393.435791015625 1906.3282470703125],0.42656394839286804,GX15OGJ,0.12259629502940053
219,6.0,[935.0996494476133 1466.090246396826 1666.8022551264855 2043.48043987864],[1193.7015380859375 1820.85498046875 1374.683349609375 1917.2376708984375],0.30505847930908203,GX15QGJ,0.32882531852603275
222,6.0,[927.5727195413549 1477.3053498033883 1658.8532784658048 2059.2256651126695],[1170.3643798828125 1834.3179931640625 1384.7786865234375 1936.7427978515625],0.31412163376808167,GX15OGJ,0.6576309491737966
223,6.0,[926.5343093353385 1478.6960157705375 1657.4376762304505 2061.0759778078686],[1170.412109375 1834.298583984375 1384.832275390625 1936.8497314453125],0.3135416805744171,GX15OGJ,0.6271696252046131
224,6.0,[927.6829944093993 1482.526575217034 1660.1083118382167 2065.2561236183315],[1164.8719482421875 1836.6448974609375 1373.7052001953125 1940.2027587890625],0.3393930196762085,GX15OCJ,0.4289212521113965
228,6.0,[908.3376861402694 1497.7178947931716 1654.4876732755883 2089.1293020563985],[1173.82080078125 1859.83154296875 1380.28515625 1956.189697265625],0.4696354568004608,GX15OGJ,0.31040965355555
229,6.0,[905.6403306725156 1498.0877478981329 1656.5142346201928 2091.3161023340863],[1173.687744140625 1859.748046875 1380.270751953125 1956.1611328125],0.4705956280231476,GX15OGJ,0.31040965355555
230,6.0,[902.4010348350805 1501.6295942320448 1656.7737686537482 2095.866455292542],[1164.7064208984375 1865.2510986328125 1368.412109375 1960.4315185546875],0.45296135544776917,GX15OGJ,0.4549821113541815
231,6.0,[900.208691050716 1506.5426071319491 1657.9602752030682 2100.4870582704643],[1180.22900390625 1872.2845458984375 1366.89990234375 1972.7742919921875],0.4279898405075073,GX15OGJ,0.43351190555233343
232,6.0,[896.7565310697071 1509.6347353510737 1656.2623289232008 2102.391124511734],[1142.67041015625 1873.3780517578125 1365.585205078125 1975.5926513671875],0.5096298456192017,GX15OGJ,0.5059950941508131
238,1.0,[2054.8077004047977 1155.487720371285 2584.999336952724 1613.5423256609306],[2258.88427734375 1433.5465087890625 2427.27392578125 1520.625732421875],0.2792232036590576,AP05JEO,0.7955679125428109
239,6.0,[891.7754108979616 1535.8607313015118 1655.1102594857825 2122.184410918927],[1128.187255859375 1904.838134765625 1354.728759765625 2010.8455810546875],0.30660977959632874,GX15OGJ,0.42282107391823975
240,6.0,[884.5629076523858 1538.8854031801236 1652.0770046062455 2126.394709781602],[1136.7322998046875 1903.3564453125 1358.52978515625 2007.10400390625],0.3137344419956207,GY15OGJ,0.08870510522608496
241,6.0,[881.2098327548075 1539.7411498196466 1651.6801237969053 2128.132572482114],[1136.6678466796875 1903.3092041015625 1358.45361328125 2007.1087646484375],0.3132428228855133,GY15OGJ,0.08870510522608496
244,6.0,[871.8226492437756 1551.335260226494 1649.823205590782 2142.416191899335],[1127.367919921875 1916.016845703125 1349.15869140625 2025.236083984375],0.3849380910396576,GY15OCJ,0.4057143877475024
